,property_id,property_type,region,transction_date_1,price_1,transaction_date_2,price_2,date_diff
38,185759,Condo,Metro Vancouver,2026-10-01,2007095.38,2026-10-12,2011141.19,11
39,187096,Condo,Nanaimo,2029-09-26,1068422.99,2029-10-14,1070441.36,18
40,187341,Townhouse,Metro Vancouver,2026-04-09,1152789.34,2026-05-05,1159697.62,26
41,187837,Condo,Thompson-Nicola,2027-06-28,1277869.47,2027-07-12,1282307.39,14
42,191110,Condo,Capital,2026-08-11,1608009.61,2026-09-01,1617527.92,21
43,193644,Condo,Thompson-Nicola,2024-04-19,560444.5,2024-05-06,560316.42,17
44,194251,Condo,Metro Vancouver,2025-01-05,1262396.88,2025-02-03,1268235.33,29
45,195148,Single Family Dwelling,Central Okanagan,2029-07-07,1472261.39,2029-07-07,1472261.39,0
46,197981,Condo,Metro Vancouver,2029-09-23,1320154.22,2029-10-20,1323914.62,27
47,198464,Single Family Dwelling,Nanaimo,2029-11-24,1593855.88,2029-11-26,1594264.94,2
48,198525,Condo,Central Okanagan,2025-04-08,929464.06,2025-04-12,930243.35,4
49,199565,Single Family Dwelling,Nanaimo,2026-10-12,1086022.0,2026-10-29,1089233.48,17
50,202032,Townhouse,Metro Vancouver,2028-04-09,1527521.04,2028-04-14,1528688.64,5
51,203483,Condo,Metro Vancouver,2029-10-07,1900064.44,2029-10-27,1904093.98,20
52,207244,Townhouse,Central Okanagan,2027-03-13,906169.17,2027-04-02,910621.38,20
53,207915,Condo,Metro Vancouver,2023-06-06,731065.67,2023-06-29,735130.35,23
54,215709,Condo,Metro Vancouver,2026-09-18,956467.47,2026-10-18,959884.13,30
55,216004,Townhouse,Metro Vancouver,2027-06-02,2041781.76,2027-06-11,2044757.25,9
56,219702,Townhouse,Metro Vancouver,2026-05-30,1523711.64,2026-06-04,1524948.88,5
57,219899,Single Family Dwelling,Metro Vancouver,2023-07-31,1152223.43,2023-08-28,1154415.88,28
58,220242,Townhouse,Metro Vancouver,2022-11-04,674331.79,2022-11-12,675244.09,8
59,226185,Single Family Dwelling,Metro Vancouver,2028-09-30,1324367.58,2028-10-24,1330668.17,24
60,227746,Townhouse,Metro Vancouver,2029-12-12,845553.13,2029-12-30,847199.62,18
61,231195,Townhouse,Central Okanagan,2028-10-16,601814.77,2028-11-04,602465.75,19
62,231448,Condo,Metro Vancouver,2028-03-14,1460299.55,2028-03-26,1463737.43,12
63,232294,Condo,Metro Vancouver,2029-09-21,1874002.61,2029-10-18,1880238.87,27
64,233416,Single Family Dwelling,Metro Vancouver,2024-09-03,1836780.6,2024-09-16,1840289.9,13
65,238416,Condo,Fraser Valley,2029-05-20,614150.92,2029-06-17,616710.3,28
66,239725,Townhouse,Metro Vancouver,2029-09-09,1454772.89,2029-09-10,1455020.45,1
67,246176,Condo,Metro Vancouver,2029-03-16,1224137.31,2029-04-15,1228385.99,30
68,246223,Condo,Metro Vancouver,2023-12-06,690348.12,2023-12-30,692246.54,24
69,247595,Condo,Cappital,2029-05-26,1033467.81,2029-06-23,1037262.33,28
70,250575,Condo,Metro Vancouver,2023-02-04,972479.73,2023-02-08,972810.59,4
71,250829,Condo,Capital,2029-01-25,684887.05,2029-02-21,688977.56,27
72,250966,Townhouse,Nanaimo,2027-08-15,833454.87,2027-08-24,834953.17,9
73,251933,Single Family Dwelling,Metro Vancouver,2027-04-09,2128563.43,2027-04-30,2137677.69,21
74,253042,Townhouse,Fraser Valley,2023-05-26,804495.36,2023-06-09,805030.92,14
75,253438,Condo,Metro Vancouver,2027-10-11,1613334.49,2027-10-30,1618579.07,19
76,255115,Single Family Dwelling,Nanaimo,2027-04-26,1463271.92,2027-05-15,1468466.66,19
77,255956,Condo,Metro Vancouver,2028-04-14,1596807.75,2028-04-28,1601671.97,14
78,255986,Townhouse,Metro Vancouver,2027-02-13,1621912.44,2027-02-27,1625939.58,14
79,256196,Townhouse,Metro Vancouver,2020-10-16,1427375.24,2020-10-22,1428946.39,6
80,259711,Condo,Thompson-Nicola,2027-06-19,322112.45,2027-07-04,322662.89,15
81,259872,Condo,Metro Vancouver,2029-07-09,1526121.53,2029-08-01,1531608.09,23
82,261440,Condo,Metro Vancouver,2029-06-13,2078176.78,2029-07-08,2092176.2,25
83,261841,Townhouse,Metro Vancouver,2028-05-05,851050.29,2028-05-10,851068.5,5
84,262048,Condo,Capital,2029-11-13,1297107.18,2029-11-19,1298296.62,6
85,262853,Condo,Fraser Valley,2024-05-02,784742.46,2024-05-27,787283.59,25
86,265770,Single Family Dwelling,Metro Vancouver,2028-07-04,2621706.95,2028-07-17,2626439.32,13
87,271199,Townhouse,Capital,2027-04-11,1214870.53,2027-04-23,1217194.41,12
88,275147,Townhouse,Capital,2022-10-12,897806.62,2022-10-27,899080.77,15
89,276223,Townhouse,Fraser Valley,2024-09-22,637830.27,2024-09-23,637915.63,1
90,281138,Condo,Nanaimo,2027-08-02,1095900.41,2027-08-10,1097333.32,8
91,283570,Townhouse,Fraser Valley,2029-08-06,784642.03,2029-09-05,787939.05,30
92,284485,Condo,Central Okanagan,2025-12-02,823218.83,2025-12-09,824211.37,7
93,284538,Single Family Dwelling,Fraser Valley,2028-06-20,1836011.53,2028-06-21,1836459.59,1
94,285328,Condo,Nanaimo,2028-11-04,1000978.97,2028-11-15,1002457.28,11
95,285561,Townhouse,Metro Vancouver,2029-07-19,1772811.57,2029-08-11,1777702.04,23
96,288280,Condo,Metro Vancouver,2025-10-29,857129.5,2025-11-10,858281.0,12
97,292465,Single Family Dwelling,Metro Vancouver,2025-06-23,1449971.53,2025-07-02,1452637.06,9
98,294617,Townhouse,Metro Vancouver,2021-11-26,897534.64,2021-12-07,899172.6,11
99,295049,Condo,Metro Vancouver,2026-12-14,1583594.17,2027-01-08,1592229.49,25
100,299081,Condo,Nanaimo,2029-10-05,976937.2,2029-10-09,977340.63,4
101,300372,Single Family Dwelling,Central Okanagan,2023-03-19,629010.86,2023-04-10,631386.9,22
102,303123,Condo,Metro Vancouver,2029-09-27,1112340.18,2029-10-04,1113214.91,7
103,303672,Condo,Metro Vancouver,2028-04-28,764962.28,2028-05-19,766861.1,21
104,304447,Single Family Dwelling,Metro Vancouver,2029-01-08,1608263.09,2029-01-13,1609383.27,5
105,306865,Condo,Metro Vancouver,2027-04-01,1778549.9,2027-04-17,1784577.93,16
106,310799,Townhouse,Nanaimo,2027-07-18,591942.98,2027-08-13,593608.98,26
107,312927,Single Family Dwelling,Metro Vancouver,2029-08-12,4061625.72,2029-09-08,4086420.98,27
108,315195,Townhouse,Thompson-Nicola,2029-03-02,1225518.58,2029-03-06,1226559.77,4
109,315869,Townhouse,Metro Vancouver,2023-06-13,1236313.13,2023-07-01,1240551.08,18
110,319122,Condo,Metro Vancouver,2026-01-15,1406059.73,2026-02-09,1412866.43,25
111,320424,Condo,Metro Vancouver,2029-10-16,2164982.16,2029-10-25,2167937.66,9
112,321706,Single Family Dwelling,Nanaimo,2029-03-18,916727.62,2029-04-02,918558.55,15
113,322157,Single Family Dwelling,Metro Vancouver,2029-10-19,2971078.8,2029-11-18,2983704.41,30
114,325826,Townhouse,Metro Vancouver,2029-06-19,1941986.3,2029-06-30,1945153.87,11
115,327053,Condo,Metro Vancouver,2029-07-03,1298172.3,2029-07-25,1299946.09,22
116,330365,Condo,Cappital,2024-12-16,394581.56,2024-12-24,394929.67,8
117,331518,Condo,Metro Vancouver,2027-12-26,1045269.56,2028-01-14,1047823.84,19
118,333862,Condo,Metro Vancouver,2027-10-09,1593590.98,2027-10-17,1595116.14,8
119,336086,Townhouse,Capital,2025-08-25,1241471.68,2025-09-18,1246799.89,24
120,336205,Condo,Fraser Valley,2029-03-16,495164.36,2029-04-07,496320.19,22
121,338174,Condo,Metro Vancouver,2025-08-16,872828.82,2025-09-09,875248.22,24
122,338958,Condo,Metro Vancouver,2025-04-16,813472.47,2025-04-22,813999.9,6
123,341122,Condo,Nanaimo,2023-07-17,736016.89,2023-08-07,737461.37,21
124,341207,Single Family Dwelling,Metro Vancouver,2029-03-22,1387822.63,2029-04-09,1390435.12,18
125,343899,Single Family Dwelling,Metro Vancouver,2029-01-28,1844755.61,2029-02-03,1845563.84,6
126,345109,Single Family Dwelling,Fraser Valley,2025-06-15,1150297.26,2025-06-18,1150907.48,3
127,347834,Condo,Metro Vancouver,2029-02-07,1787088.12,2029-02-23,1793402.01,16
128,351432,Single Family Dwelling,Cappital,2028-08-24,1128146.02,2028-09-10,1132519.71,17
129,352971,Single Family Dwelling,Metro Vancouver,2028-09-19,2426130.03,2028-09-29,2430105.11,10
130,353977,Single Family Dwelling,Metro Vancouver,2023-05-28,1597999.16,2023-05-31,1598851.69,3
131,354701,Single Family Dwelling,Metro Vancouver,2025-05-05,2014072.65,2025-05-27,2022236.91,22
132,361607,Townhouse,Metro Vancouver,2028-03-09,1681294.98,2028-03-10,1681448.4,1
133,362789,Single Family Dwelling,Metro Vancouver,2025-08-08,1467928.15,2025-08-28,1473073.66,20
134,363033,Single Family Dwelling,Capital,2028-09-19,1654991.11,2028-09-29,1657551.25,10
135,365032,Condo,Metro Vancouver,2022-02-05,984476.98,2022-02-16,985817.51,11
136,368893,Single Family Dwelling,Metro Vancouver,2028-11-05,1768138.91,2028-11-20,1770204.28,15
137,370317,Condo,Metro Vancouver,2028-02-22,1607135.36,2028-03-19,1615663.02,26
138,370605,Condo,Metro Vancouver,2025-09-15,1692039.02,2025-09-20,1693551.52,5
139,371823,Single Family Dwelling,Metro Vancouver,2028-09-09,1755675.45,2028-09-10,1755931.23,1
140,377328,Single Family Dwelling,Central Okanagan,2020-11-03,485816.43,2020-11-07,486033.01,4
141,377809,Condo,Metro Vancouver,2026-11-06,1313132.82,2026-11-20,1316649.13,14
142,379962,Townhouse,Nanaimo,2021-10-28,821000.3,2021-11-21,824236.27,24
143,384794,Townhouse,Metro Vancouver,2025-05-03,1501672.16,2025-05-27,1507329.26,24
144,385351,Townhouse,Capital,2026-01-10,1069370.7,2026-01-13,1069880.66,3
145,389113,Single Family Dwelling,Metro Vancouver,2026-08-01,1240888.78,2026-08-13,1241932.46,12
146,389723,Single Family Dwelling,Metro Vancouver,2028-07-04,2455935.95,2028-07-24,2462242.29,20
147,391335,Condo,Central Okanagan,2027-03-16,1091483.54,2027-03-20,1092346.31,4
148,392886,Single Family Dwelling,Capital,2024-05-21,1303951.65,2024-06-05,1306633.22,15
149,407432,Condo,Central Okanagan,2020-03-06,603695.15,2020-04-02,607834.61,27
150,410409,Condo,Metro Vancouver,2021-08-14,1285163.06,2021-08-17,1285600.9,3
151,412137,Single Family Dwelling,Metro Vancouver,2023-09-10,852335.4,2023-09-17,853131.65,7
152,413845,Condo,Metro Vancouver,2023-03-04,888613.79,2023-03-15,890641.82,11
153,414948,Single Family Dwelling,Metro Vancouver,2027-09-04,2056841.97,2027-09-07,2057748.97,3
154,415283,Condo,Metro Vancouver,2027-11-15,1090524.11,2027-11-25,1092081.42,10
155,415496,Condo,Metro Vancouver,2026-09-14,1439457.36,2026-10-08,1444875.58,24
156,431389,Townhouse,Metro Vancouver,2026-04-08,2323142.52,2026-04-22,2330156.29,14
157,434928,Condo,Metro Vancouver,2027-09-27,1778736.54,2027-10-16,1785144.66,19
158,435110,Townhouse,Capital,2024-01-10,542576.69,2024-02-09,544169.42,30
159,439126,Condo,Capital,2023-09-14,1198335.77,2023-10-03,1203216.66,19
160,440428,Condo,Metro Vancouver,2023-10-30,822673.45,2023-11-20,825330.52,21
161,442228,Condo,Metro Vancouver,2027-02-02,1269917.84,2027-02-27,1276735.6,25
162,442826,Single Family Dwelling,Metro Vancouver,2021-04-26,1846500.84,2021-05-25,1858594.85,29
163,448093,Condo,Metro Vancouver,2023-07-02,1429979.36,2023-07-21,1433689.96,19
164,449186,Condo,Metro Vancouver,2022-04-01,1307032.86,2022-04-26,1312129.9,25
165,450558,Single Family Dwelling,Fraser Valley,2024-09-28,874579.24,2024-10-14,876936.97,16
166,459532,Single Family Dwelling,Central Okanagan,2020-09-23,1080393.12,2020-09-30,1082322.82,7
167,466434,Single Family Dwelling,Metro Vancouver,2022-05-01,2294658.8,2022-05-20,2307069.56,19
168,469684,Condo,Fraser Valley,2025-05-26,1018097.04,2025-05-28,1018555.58,2
169,471482,Condo,Metro Vancouver,2024-05-22,1211094.0,2024-05-27,1211923.21,5
170,472062,Townhouse,Capital,2026-06-23,1425774.54,2026-07-02,1427724.96,9
171,472915,Single Family Dwelling,Fraser Valley,2026-01-17,788132.91,2026-01-28,790139.34,11
172,475377,Condo,Metro Vancouver,2021-10-01,914653.44,2021-10-18,917005.56,17
173,477245,Single Family Dwelling,Metro Vancouver,2020-11-09,1672433.1,2020-11-19,1672500.92,10
174,477759,Single Family Dwelling,Metro Vancouver,2020-06-02,1325327.08,2020-06-20,1329447.14,18
175,486473,Condo,Metro Vancouver,2025-02-11,877739.75,2025-03-13,881346.02,30
176,492431,Condo,Metro Vancouver,2024-09-18,916173.17,2024-09-25,916889.67,7
177,497660,Single Family Dwelling,Metro Vancouver,2021-12-27,1386508.34,2022-01-02,1387635.22,6
178,500415,Condo,Thompson-Nicola,2025-09-26,523439.03,2025-10-26,524826.18,30
179,501289,Townhouse,Metro Vancouver,2021-03-26,1193456.63,2021-04-11,1197349.69,16
180,507403,Condo,Cappital,2025-05-27,439725.01,2025-05-29,439895.41,2
181,530760,Single Family Dwelling,Capital,2025-02-15,1245270.4,2025-02-28,1247082.16,13
182,532332,Condo,Metro Vancouver,2021-10-25,806429.27,2021-11-09,807367.56,15
183,532656,Townhouse,Metro Vancouver,2025-06-08,1860158.82,2025-07-08,1870081.86,30
184,532971,Townhorse,Thompson-Nicola,2024-03-24,860033.75,2024-04-20,860389.2,27
185,536286,Condo,Metro Vancouver,2023-06-19,1385384.54,2023-07-01,1387991.31,12
186,537246,Condo,Metro Vancouver,2021-05-23,703165.41,2021-06-11,705231.23,19
187,538838,Townhouse,Central Okanagan,2024-12-16,1199199.79,2024-12-28,1200629.77,12
188,553555,Condo,Central Okanagan,2022-08-27,636155.37,2022-09-20,639910.55,24
189,566849,Condo,Capital,2022-09-23,882583.52,2022-10-06,884883.62,13
190,578158,Condo,Metro Vancouver,2021-07-28,759871.71,2021-08-26,765155.63,29
191,583682,Townhouse,Nanaimo,2023-06-01,882086.95,2023-06-30,886457.27,29
192,596610,Single Family Dwelling,Metro Vancouver,2023-06-09,1280590.16,2023-06-21,1283077.42,12
193,596671,Single Family Dwelling,Nanaimo,2022-03-05,1025448.22,2022-03-28,1028338.94,23
194,604127,Single Family Dwelling,Metro Vancouver,2023-09-09,1543877.29,2023-09-12,1544776.92,3
195,618966,Townhouse,Capital,2022-03-14,1154930.23,2022-04-08,1160064.15,25
196,625394,Single Family Dwelling,Metro Vancouver,2021-07-20,1361778.19,2021-08-07,1366286.52,18
197,654178,Condo,Metro Vancouver,2022-10-16,1019893.16,2022-10-23,1020694.34,7
198,679371,Townhouse,Metro Vancouver,2022-08-16,1299925.16,2022-09-14,1306665.29,29
199,710775,Single Family Dwelling,Metro Vancouver,2021-02-19,1256692.61,2021-02-19,1256692.61,0
